Username,Total reviews,Location,Date,Content,Rating,Polarity,Subjectivity
zara colchester,13 reviews,GB,"Updated Nov 28, 2020","Revolting rip-off merchants.Revolting rip-off merchants.Quoted £3250 to repair a watch worth £2500. They said it needed a complete overhaul and a new bracelet.Took it somewhere else and they identified the issue (naming the part that was needed). Charged £320 in total for the service and parts.It's working beautifully and has a year warranty. Do not touch Rolex or Watches of Switzerland who seem to be in cahoots with them.Date of experience: November 28, 2020",1,0.08,0.53
Jason,1 review,US,"Feb 5, 2023","Rolex doesn’t care…Rolex doesn’t care about their customers. They are allowing Authorized Dealers to strong arm their customers. AD’s are telling people to spend lots of money in their stores in hopes of getting on a list. My $20k should be worth the same as someone else’s $20k. It’s almost better to purchase on the grey markets and pay a couple of thousand extra to get a watch sooner. Although it’s risky buying on the grey market. You could spend $50k with an AD and still not get a watch for years. I hope Rolex realizes it’s losing customers.Date of experience: February 04, 2023",1,0.16,0.25
Peter Herrmann,6 reviews,AT,"Jul 2, 2020","The quality of the watch is outstandingI treaded myself with a rolex Yach-master watch. The quality of the watch is outstanding it worth every penny. I’m impressed with craftsmanship of Rolex, they really can last a lifetime. For example my grandpa’s watch is still going strong after 40 years of usage.Date of experience: July 02, 2020",4,0.41,0.5
Bob,1 review,GB,"Aug 7, 2021","Rolex serviceRolex generally do not float my boat, however I recently purchased my first  (and last). This was a vintage oyster date adjust, nothing special, it’s just elegant and working from 1940. I decided to send it off to get checked over and serviced. After a few weeks I had a call from gold smiths, my watch was back and ready for collection. They then advised that my watch was too old for rolex to service. I find this hard to believe, even if this were the case why didn’t they tell me this prior and wasting my money? Being a “premium brand” You would think that they would continue to service watches no matter their age! No other rolex will enter my collection.Date of experience: August 07, 2021",1,0.07,0.34
Nelius Smit,1 review,ZA,"May 31, 2023","The company directors needs to really…The company directors needs to really sit down and take a deep breath and look at the quality of the watches and brand that they have devised and created.In my opinion the quality is a complete myth.I am convinced that our 1984 BMW 318i , a E30 will outlive our 1972 Rolex watch.About a week ago we visited the Rolex shop in Luxembourg explaining that our 1972 Rolex watch has stopped working two weeks ago.My son and I were really disappointed at the unfriendly reception we received.We were asked to pay 800 euros for a standard inspection service and then we will know what it will cost to repair the watch.A new Rolex will cost 8000 euros and there is a waiting list for 5 to 10 years.We took our 39 year old BMW for a service last year and was treated like proper customers by BMW.Suggest Rolex start looking at success companies and a brand like BMW - Quality and Customer Driven!Date of experience: May 22, 2023",2,-0.01,0.26
Cozmo Terrier,7 reviews,IE,"Updated Aug 20, 2021","I have spent the last forty years…I have spent the last forty years collecting antique clocks but recently sports watches particularly the Rolex Deepsea dweller James Cameron has become a “must have”for me. To that end I visited Keans jewelers in Cork city where I met David O’Connor to start the process of getting this fantastic watch. I must say that the experience was first class and David could not have been more helpful.I realize that there is a waiting period for these pieces but David could not have been more helpful in explaining the situation frankly and honestly which is all one can ask for. It’s not easy to tell a customer you can’t sell them a piece immediately on the spot especially in the present retail market where the customer believes that money can get you instant gratification. Thank you again keans.Date of experience: August 20, 2021",5,0.13,0.44
Emre Cakir,131 reviews,TR,"Oct 24, 2022","Quality is not a coincidence, but moral education comes from the family.I had a very bad experience and they made an unforgivable mistake.  Rolex is a watch that I have in my watch collection, but it has never been the best.  The employees of the Rhodium authorized dealer in Istanbul implied that selling this watch is a blessing.  Dear Rolex family, I am a retailer and I know the value of the customer very well.  What you lack is trying to sell a mass-produced product as if it were very special, and conveying this to your employees in an arrogant way.  The sad thing is that the people working there thought that rolex is a good investment tool, but what they forgot is that the watch I wear on my wrist is not more valuable than the cars in my garage.Date of experience: October 12, 2022",1,0.09,0.57
Always the honest opinion,389 reviews,GB,"Mar 30, 2023","Not an inclusive brand - no fair waitlistFor me, Rolex has died. The behaviour of authorised dealers has done this to this former great watch brand with a waitlist that isn’t a fair queue. People push in and those at the back stay at the back. That’s not a value most people subscribe too. Therefore when I see Rolex, I don’t see inclusivity - they need to wake up and sell direct online to move off these greedy middle man tarnishing their name.Will move my money to Omega instead.Date of experience: March 01, 2023",1,0.19,0.38
Ken Predovich,553 reviews,CA,"Sep 22, 2019","As long as Tiger Woods represents…As long as Tiger Woods represents Rolex,we`ll never buy one.Rolex represents everything that is good.Simply a poor representative for such a wonderful company--what were you thinking in your sales department?Date of experience: September 22, 2019",2,0.1,0.58
Tony beal,6 reviews,GB,"Dec 26, 2018","RIP off RolexBought my Rolex almost 7 years old and has never been great at timekeeping .Sent off for service -said min £650 which I thought was dear enough.Then come back and quoted me £1960 to do some repairs and the service -total joke and said the watch had got some water ingress .I complained and said watch waterproof -so why is that not being sorted -said out of guarantee -this is a watch that cost £8k + Terrible customer services and made no attempt to placate in any way .I will sell the watch and never buy a Rolex again and would recommend people to go with a decent watch maker that values it’s customers ,instead of ripping them off .Date of experience: December 26, 2018",1,-0.03,0.51
Carl,3 reviews,US,"Mar 3, 2023","Rolex don't care about their customersRolex makes it very difficult to service watches and left me feeling that they are just interested in selling new watches. At first visit to their NYC service center they would not service my watch unless I provided original bracelet. When I made sure the bracelet was delivered to them, they turned it away. Speaking to them afterwards, they asked me to visit their location one more time with the bracelet. It cant be that you have to visit their location 3 times for the privilege of paying almost $1000 to service a watch. Speaking to them, they were very rude and not interested in finding a solution that not only suited Rolex.Date of experience: March 03, 2023",1,0.06,0.57
K D,2 reviews,CH,"Nov 28, 2022","UglyLow class, take its costumers for granted, and sell really old fashion models, for high prices compared to many others Swiss watches of better manufactures. Also very discriminatory approach to costumer selection. Shame!Date of experience: November 25, 2022",1,0.29,0.41
Shu,6 reviews,SG,"Sep 12, 2019","Poor quality materials and flimsy designRolex claims to put every one of their watches through 20 crash tests before launch. Their watches are supposedly able to withstand 5000G and accompany you to the depths of the sea, highest summit, race track, etc etc...I won't repeat it, you can read it from their website.Well, guess what? I have an Oyster Perpetual Datejust only two years old and I accidentally dropped it the other day whilst removing it from my wrist. Dropped about 80cm to the ground. The glass shattered and the mechanism stopped. I understand that apart from changing the glass, the watch will need a full servicing to check for potential shards of glass in the mechanism...So the money you pay obviously doesn't go into research into better quality, resistant glass or state of the art design that would prevent shards entering the system. What are you paying for, then?I am a disappointed customer. Even more disappointed that I don't even know how to contact them about these issues.Date of experience: September 12, 2019",1,-0.01,0.61
Phil Shepherd,1 review,GB,"Updated Oct 16, 2020","Terrible buying experienceTerrible buying experience. All of Rolex's entry level watches are impossible to purchase due to a managed shortage of pieces. Any potential customer is reduced to ""building a relationship with an AD"", which basically means being extorted by them in to buying a load of additional services and products on the off chance that they might then deem you worthy enough for consideration 3-5 years down the line. I am finished with Rolex as a brand and my most recent purchase was an Omega Sea Master Planet Ocean Master Chronometer.  Rolex on the whole are overpriced, overrated, and for those who aspire to be rich, whilst the real rich buy Jacob & Co etc, not 7k steel sport watches.Date of experience: October 12, 2020",1,0.0,0.67
PG,1 review,MC,"Jun 6, 2022","Watches Never available worldwideWatches Never available worldwide, store have no supply, only display models if your lucky, blackmarket prices extortionate, RUBISH RUBISH RUBISH!!!!Probability now the worlds WORST watch brand !LETS ALL AVOID it!Date of experience: June 06, 2022",1,-0.21,0.73
Giles Morris,3 reviews,IM,"May 1, 2020","Rolex Sea-DwellerI just sent this message (1st May 2020) to Goldsmith's regarding a Rolex Sea-Dweller that I have just purchased. I think it paints the right picture for Rolex. (I have to go to the shop to pick up a Rolex when lockdown ends as they cannot courier the watch to me for no sane reason!)To Goldsmiths....Please allow me to get this off my chest!I have 3 Omega divers and other watches too.This is my second sea dweller.Christopher Ward (and Omega now) have sold to me online and delivered by courier.So in addition to the inconvenience of the waiting list I have been on, it annoys me that Rolex are stuck in an arcane world detached from reality, particularly under the current circumstances.I like Rolex, but Omega are better watches and Christopher Ward are amazing value.Rolex should watch out! - no pun intended :)Date of experience: May 01, 2020",3,0.26,0.51
Azeem,10 reviews,GB,"Nov 27, 2022","5 STAR ROLEX BOUTIQUE STORE GLASGOW ARGYLE STREETI bought my first Rolex watch in 2019 from TingTing from Rolex Boutique Glasgow . Since then I always visit the store when I am in the area. I had great experience in this particularly store. The best Rolex store and amazing people  very friendly professional and smart. I was looking for my unique watch for my for a long time. Ting Ting showed me all different combinations and update with me time to time. I got my Dream watch. It really put the smile on my face. When I visited to see Tingting always have warm welcome and it's felts family Friends, Thank you TingTing!Date of experience: November 25, 2022",5,0.39,0.52
Matt Weavil,1 review,US,"Oct 28, 2019","Unrivaled in qualityHad my Milgauss for a decade. It has been around the world with me and I have never had an issue (and the free steam cleanings are always nice). Rolex simply makes an extraordinary, unique and efficient timepiece that is unrivaled in quality.Date of experience: October 28, 2019",5,0.34,0.83
Sean Calver,8 reviews,GB,"Aug 16, 2021","Knightbridge LondonKnightbridge London - Rolex Thanks to Kamran for sourcing my Rolex watch. Fantastic experience with the handover and cannot thank Kamran enough - very professional and great service. Look forward to coming back soon. 5*Date of experience: August 16, 2021",5,0.26,0.41
Alberto,1 review,GB,"Dec 25, 2020","Literally extorted by the sales personLiterally extorted by the sales person! The lady at Watches of Switzerland LITERALLY said that the only way for me to get a GMT master was to buy a bunch of other stuff from them! Disgusting.I am shocked of how Rolex allows ADs to behave in this way.Date of experience: December 25, 2020",1,-0.29,0.72
Mr Truth,1 review,GB,"Aug 5, 2022","NOTHING LUXURY ABOUT CRAP SERVICE.It was easier to buy my Porsche than it is turning out to be to get hold of a Rolex - furthermore I'm having to deal with awful people... who can't afford Rolex's themselves.There is nothing luxury about crap service and tacky, pretentious people.I wonder if Rolex know what people are being made to go through to get onto waitlists?... bribes, backhanders, one guy told me I had to buy a Rolex that they had in stock before I could even get on the waitlist. These people are shysters!Date of experience: August 05, 2022",1,-0.72,0.82
Lucas Milan,1 review,IN,"Jul 28, 2022","I recently purchased two watchesI recently purchased two watches. My wife's watch stopped working after a month. The service center did not provide a satisfactory result. I'm very disappointed with Rolex.Date of experience: July 28, 2022",1,-0.27,0.39
Farjana Yeasmin Hira,4 reviews,BD,"May 8, 2019","Rolex watch one of the stylish and cool…Rolex watch one of the stylish and cool watch in the word. This brand can't be compare other watch brand because Rolex watch most fashionable watch in all country. Personaly my favourite brand and satisfied.🥰Date of experience: May 08, 2019",5,0.35,0.7
Linda Falter,16 reviews,GB,"Apr 4, 2022","My husband gave me my Rolex Oyster on…My husband gave me my Rolex Oyster on our wedding night. I gave him one too. Since then, I have had my watch serviced four times and now it has stopped. I took it to Rolex in St James's Square. They looked at it and a few days later presented me with a quote for £2,717 because they claim it needs a new dial and  hands as well as a new bracelet. Surely, a watch like Rolex should last a lifetime? I have already spent more on servicing the watch than the original cost of the watch itself and because it has sentimental value I want to continue wearing it. The service department takes ages to respond.Date of experience: April 04, 2022",1,0.11,0.43
